mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/2	1	1	.g.i{		g	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	3/2	3/2	4/2	1	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
2	2	0	0	4/2	1	1	v6		g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
2	2	1/2	1/2	4/2	1	1	V6		g	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	2	1	1	4/2	1	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
3	3	0	0	4/2	1	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
3	3	1/2	1/2	4/2	1	1	III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
3	3	1	1	4/2	1	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
3	3	3/2	3/2	4/2	1	1	iv6		g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	4	0	0	4/2	1	1	III6		g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
4	4	1/2	1/2	4/2	1	1	I		g	i		I	I							M	1	1	0, 4, 1		0	0
4	4	1	1	4/2	1	1	#viio6		g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	4	3/2	3/2	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	0	0	4/2	1	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	5	1/2	1/2	4/2	1	1	III6		g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
5	5	1	1	4/2	1	1	VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
5	5	3/2	3/2	4/2	1	1	iv6		g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	7/4	7/4	4/2	1	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	6	0	0	4/2	1	1	i(4)		g	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
6	6	1/2	1/2	4/2	1	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
6	6	1	1	4/2	1	1	III6		g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
6	6	3/2	3/2	4/2	1	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
7	7	0	0	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	7	1/2	1/2	4/2	1	1	V6		g	i		V6	V		6					M	1	1	5, 2, 1		1	5
7	7	1	1	4/2	1	1	I		g	i		I	I							M	1	1	0, 4, 1		0	0
7	7	3/2	3/2	4/2	1	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
8	8	0	0	4/2	1	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
8	8	1/4	1/4	4/2	1	1	V(4)		g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
8	8	3/4	3/4	4/2	1	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
8	8	3/2	3/2	4/2	1	1	i}{		g	i		i	i						}{	m	1	1	0, -3, 1		0	0
9	9	0	0	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
9	9	1/2	1/2	4/2	1	1	I6		g	i		I6	I		6					M	1	1	4, 1, 0		0	4
9	9	1	1	4/2	1	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
9	9	3/2	3/2	4/2	1	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
10	10	0	0	4/2	1	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
10	10	1	1	4/2	1	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
11	11	0	0	4/2	1	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
11	11	1/2	1/2	4/2	1	1	VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
11	11	3/4	3/4	4/2	1	1	iv6		g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
11	11	1	1	4/2	1	1	III6		g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
11	11	7/4	7/4	4/2	1	1	#viio6/iv		g	i		#viio6/iv	#vii	o	6		iv			o	1	1	1, -2, 4		4	1
12	12	0	0	4/2	1	1	VII6		g	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
12	12	1/2	1/2	4/2	1	1	III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
12	12	1	1	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	12	7/4	7/4	4/2	1	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
13	13	0	0	4/2	1	1	V(4)		g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
13	13	1/4	1/4	4/2	1	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
13	13	1	1	4/2	1	1	I6		g	i		I6	I		6					M	1	1	4, 1, 0		0	4
13	13	3/2	3/2	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
14	14	0	0	4/2	1	1	#viio6		g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
14	14	1/2	1/2	4/2	1	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
14	14	1	1	4/2	1	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
