mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1		.d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	3/4	3/4	4/4	1	1		VI6	d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
1	1	7/8	7/8	4/4	1	1		#viio6/iv	d	i		#viio6/iv	#vii	o	6		iv			o	1	1	1, -2, 4		4	1
2	2	0	0	4/4	1	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
2	2	1/8	1/8	4/4	1	1		V6/iv	d	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
2	2	1/4	1/4	4/4	1	1		iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	3/8	3/8	4/4	1	1		V43/iv	d	i		V43/iv	V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
2	2	1/2	1/2	4/4	1	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
2	2	3/4	3/4	4/4	1	1		VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
2	2	7/8	7/8	4/4	1	1		iio64	d	i		iio64	ii	o	64					o	1	1	-4, 2, -1		2	-4
3	3	0	0	4/4	1	1		V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	1/4	1/4	4/4	1	1		V(64)	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
3	3	1/2	1/2	4/4	1	1		V(4)	d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
3	3	5/8	5/8	4/4	1	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
3	3	7/8	7/8	4/4	1	1		#viio6	d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	4	0	0	4/4	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	1/8	1/8	4/4	1	1		V6	d	i		V6	V		6					M	1	1	5, 2, 1		1	5
4	4	1/4	1/4	4/4	1	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
5	5	1/2	1/2	4/4	1	1		III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
5	5	7/8	7/8	4/4	1	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
6	6	1/4	1/4	4/4	1	1		V(64)	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
6	6	1/2	1/2	4/4	1	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
7	7	0	0	4/4	1	1		V6	d	i		V6	V		6					M	1	1	5, 2, 1		1	5
7	7	1/2	1/2	4/4	1	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
7	7	3/4	3/4	4/4	1	1		#vio6	d	i		#vio6	#vi	o	6					o	1	1	0, -3, 3		3	0
8	8	0	0	4/4	1	1		VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
8	8	1/4	1/4	4/4	1	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
8	8	3/4	3/4	4/4	1	1		iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
