mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/2	1	1	.d.V{	v{	d	i		V	V						{	M	1	1	1, 5, 2		1	1
1	1	4	1.0	1	1	4/2	1	1	iv(2)		d	i		iv(2)	iv			2				m	1	1	1, -4, 0		-1	1
1	1	5	2.0	5/4	5/4	4/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
1	1	7	1.0	7/4	7/4	4/2	1	1	iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
2	2	8	2.0	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
2	2	10	1.0	1/2	1/2	4/2	1	1	i64		d	i		i64	i		64					m	1	1	1, 0, -3		0	1
2	2	11	1.0	3/4	3/4	4/2	1	1	vii%7/V/III		d	i		vii%7/V/III	vii	%	7		V/III			%7	1	1	3, 0, -3, 1		3	3
2	2	12	1.0	1	1	4/2	1	1	V(4)/III		d	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
2	2	13	1.0	5/4	5/4	4/2	1	1	V64/III		d	i		V64/III	V		64		III			M	1	1	-1, -2, 2		-2	-1
2	2	14	2.0	3/2	3/2	4/2	1	1	V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
3	3	16	1.0	0	0	4/2	1	1	III}{		d	i		III	III						}{	M	1	1	-3, 1, -2		-3	-3
3	3	17	1.0	1/4	1/4	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	18	2.0	1/2	1/2	4/2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
3	3	20	1.0	1	1	4/2	1	1	iv6(2)		d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
3	3	21	3.0	5/4	5/4	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	4	24	1.0	0	0	4/2	1	1	III6(6)		d	i		III6(6)	III		6	6				M	1	1	1, 0, -3		-3	1
4	4	25	3.0	1/4	1/4	4/2	1	1	III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
4	4	28	3.0	1	1	4/2	1	1	ii6/III		d	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
4	4	31	1.0	7/4	7/4	4/2	1	1	viio6/III		d	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
5	5	32	3.0	0	0	4/2	1	1	III}{		d	i		III	III						}{	M	1	1	-3, 1, -2		-3	-3
5	5	35	1.0	3/4	3/4	4/2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
5	5	36	1.0	1	1	4/2	1	1	iv(2)		d	i		iv(2)	iv			2				m	1	1	1, -4, 0		-1	1
5	5	37	1.0	5/4	5/4	4/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	5	38	2.0	3/2	3/2	4/2	1	1	iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
6	6	40	3.0	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
6	6	43	1.0	3/4	3/4	4/2	1	1	vii%65/V/III		d	i		vii%65/V/III	vii	%	65		V/III			%7	1	1	0, -3, 1, 3		3	0
6	6	44	2.0	1	1	4/2	1	1	V(4)/III		d	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
6	6	46	1.0	3/2	3/2	4/2	1	1	V64/III		d	i		V64/III	V		64		III			M	1	1	-1, -2, 2		-2	-1
6	6	47	1.0	7/4	7/4	4/2	1	1	V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
7	7	48	1.0	0	0	4/2	1	1	i64(2)		d	i		i64(2)	i		64	2				m	1	1	1, 2, -3		0	1
7	7	49	1.0	1/4	1/4	4/2	1	1	i64		d	i		i64	i		64					m	1	1	1, 0, -3		0	1
7	7	50	1.0	1/2	1/2	4/2	1	1	i(6)		d	i		i(6)	i			6				m	1	1	0, -3, -4		0	0
7	7	51	1.0	3/4	3/4	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
7	7	52	1.0	1	1	4/2	1	1	#viio(2)		d	i		#viio(2)	#vii	o		2				o	1	1	0, 2, -1		5	0
7	7	53	1.0	5/4	5/4	4/2	1	1	#viio		d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
7	7	54	1.0	3/2	3/2	4/2	1	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
7	7	55	1.0	7/4	7/4	4/2	1	1	#viio		d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
8	8	56	4.0	0	0	4/2	1	1	i}{		d	i		i	i						}{	m	1	1	0, -3, 1		0	0
8	8	60	4.0	1	1	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
9	9	64	2.0	0	0	4/2	1	1	VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
9	9	66	1.0	1/2	1/2	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
9	9	67	1.0	3/4	3/4	4/2	1	1	ii%65		d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
9	9	68	2.0	1	1	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
