mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/2	1	1		.d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1	3/2	1	1		III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
2	2	0	0	3/2	1	1		VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
2	2	1/2	1/2	3/2	1	1		IV6	d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
2	2	1	1	3/2	1	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	1	1	3/2	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	0	0	3/2	1	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
4	4	1	1	3/2	1	1		v6	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
5	5	0	0	3/2	1	1		VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
5	5	1/2	1/2	3/2	1	1		VI6	d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
5	5	1	1	3/2	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	0	0	3/2	1	1		VII6	d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
6	6	1	1	3/2	1	1		VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
7	7	0	0	3/2	1	1		iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	7	1/2	1/2	3/2	1	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
8	8	0	0	3/2	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	8	1	1	3/2	1	1		v6	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
9	9	0	0	3/2	1	1		IV6	d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
9	9	1/2	1/2	3/2	1	1		IV	d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
9	9	1	1	3/2	1	1		VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
10	10	0	0	3/2	1	1		III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
10	10	1/2	1/2	3/2	1	1		III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
10	10	1	1	3/2	1	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
11	11	0	0	3/2	1	1		i}{	d	i		i	i						}{	m	1	1	0, -3, 1		0	0
11	11	1	1	3/2	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	12	0	0	3/2	1	1		VII6	d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
12	12	1/2	1/2	3/2	1	1		ii	d	i		ii	ii							m	1	1	2, -1, 3		2	2
12	12	1	1	3/2	1	1		IV	d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
12	12	5/4	5/4	3/2	1	1		#viio64	d	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
13	13	0	0	3/2	1	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
13	13	1	1	3/2	1	1		III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
14	14	0	0	3/2	1	1		VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
14	14	1	1	3/2	1	1		VII6	d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
15	15	0	0	3/2	1	1		iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
15	15	1	1	3/2	1	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
16	16	0	0	3/2	1	1		III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
16	16	1/2	1/2	3/2	1	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
16	16	1	1	3/2	1	1		v6	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
17	17	0	0	3/2	1	1		VII6	d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
17	17	1/2	1/2	3/2	1	1		III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
17	17	1	1	3/2	1	1		III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
18	18	0	0	3/2	1	1		VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
19	19	0	0	3/2	1	1		iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
19	19	1	1	3/2	1	1		I6	d	i		I6	I		6					M	1	1	4, 1, 0		0	4
20	20	0	0	3/2	1	1		iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
21	21	0	0	3/2	1	1		I}	d	i		I	I						}	M	1	1	0, 4, 1		0	0
