mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	8/4	1	1		.d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	8/4	1	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
1	1	1	1	8/4	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
1	1	5/4	5/4	8/4	1	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
1	1	3/2	3/2	8/4	1	1		viio6/V	d	i		viio6/V	vii	o	6		V			o	1	1	3, 0, 6		6	3
2	2	0	0	8/4	1	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
2	2	1/2	1/2	8/4	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	3/2	3/2	8/4	1	1		V/v	d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
3	3	0	0	8/4	1	1		VI/v	d	i		VI/v	VI				v			M	1	1	-3, 1, -2		-3	-3
3	3	1/2	1/2	8/4	1	1		v6	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
3	3	1	1	8/4	1	1		#viio6(2)/v	d	i		#viio6(2)/v	#vii	o	6	2	v			o	1	1	3, 0, 1		6	3
3	3	5/4	5/4	8/4	1	1		#viio6/v	d	i		#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
3	3	3/2	3/2	8/4	1	1		v}{	d	i		v	v						}{	m	1	1	1, -2, 2		1	1
4	4	1/2	1/2	8/4	1	1		ii	d	i		ii	ii							m	1	1	2, -1, 3		2	2
4	4	1	1	8/4	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	3/2	3/2	8/4	1	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
5	5	0	0	8/4	1	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
5	5	1/2	1/2	8/4	1	1		VII6	d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
5	5	3/4	3/4	8/4	1	1		VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
5	5	1	1	8/4	1	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
6	6	0	0	8/4	1	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
6	6	1/2	1/2	8/4	1	1		ii	d	i		ii	ii							m	1	1	2, -1, 3		2	2
6	6	1	1	8/4	1	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
6	6	3/2	3/2	8/4	1	1		ii	d	i		ii	ii							m	1	1	2, -1, 3		2	2
7	7	0	0	8/4	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	7	1/2	1/2	8/4	1	1		III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	7	3/4	3/4	8/4	1	1		v6	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
7	7	1	1	8/4	1	1		VII6	d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
7	7	5/4	5/4	8/4	1	1		ii	d	i		ii	ii							m	1	1	2, -1, 3		2	2
7	7	3/2	3/2	8/4	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	8	0	0	8/4	1	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
8	8	1/2	1/2	8/4	1	1		VII6	d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
8	8	3/4	3/4	8/4	1	1		ii	d	i		ii	ii							m	1	1	2, -1, 3		2	2
8	8	1	1	8/4	1	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
8	8	3/2	3/2	8/4	1	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
9	9	0	0	8/4	1	1		iv6(2)	d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
9	9	1/4	1/4	8/4	1	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
9	9	1/2	1/2	8/4	1	1		VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
9	9	1	1	8/4	1	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
9	9	3/2	3/2	8/4	1	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
9	9	7/4	7/4	8/4	1	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
10	10	0	0	8/4	1	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
10	10	1/4	1/4	8/4	1	1		V(4)	d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
10	10	3/4	3/4	8/4	1	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
10	10	1	1	8/4	1	1		I}	d	i		I	I						}	M	1	1	0, 4, 1		0	0
