mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/2	2	1		.d.i[i{	d	i	i	i	i							{	m	1	1	0, -3, 1		0	0
2	2	0	0	4/2	2	1		VI6	d	i		VI6	VI		6						M	1	1	0, -3, -4		-4	0
2	2	1/2	1/2	4/2	2	1		i	d	i		i	i								m	1	1	0, -3, 1		0	0
2	2	1	1	4/2	2	1		V(6)/iv	d	i		V(6)/iv	V			6	iv				M	1	1	0, 4, -4		0	0
2	2	5/4	5/4	4/2	2	1		V7/III	d	i		V7/III	V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
2	2	3/2	3/2	4/2	2	1		i7	d	i		i7	i		7						mm7	1	1	0, -3, 1, -2		0	0
2	2	7/4	7/4	4/2	2	1		i	d	i		i	i								m	1	1	0, -3, 1		0	0
3	3	0	0	4/2	2	1		iv6	d	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
3	3	1/2	1/2	4/2	2	1		I6	d	i		I6	I		6						M	1	1	4, 1, 0		0	4
3	3	3/4	3/4	4/2	2	1		i	d	i		i	i								m	1	1	0, -3, 1		0	0
3	3	1	1	4/2	2	1		V6	d	i		V6	V		6						M	1	1	5, 2, 1		1	5
3	3	5/4	5/4	4/2	2	1		v	d	i		v	v								m	1	1	1, -2, 2		1	1
3	3	3/2	3/2	4/2	2	1		i6(2)	d	i		i6(2)	i		6	2					m	1	1	-3, 1, 2		0	-3
3	3	7/4	7/4	4/2	2	1		i6	d	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
4	4	0	0	2/2	2	1		V7/VII	d	i		V7/VII	V		7		VII				Mm7	1	1	-1, 3, 0, -3		-1	-1
4	4	1/4	1/4	2/2	2	1		V(64)/VII	d	i		V(64)/VII	V			64	VII				M	1	1	-1, -2, 2		-1	-1
4	4	1/2	1/2	2/2	2	1		V/VII	d	i		V/VII	V				VII				M	1	1	-1, 3, 0		-1	-1
4	4	7/8	7/8	2/2	2	1		V7(+4)	d	i		V7(+4)	V		7	+4					Mm7	1	1	1, 5, 2, -1	0	1	1
5	5	0	0	2/2	2	1		iv6	d	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
5	5	1/2	1/2	2/2	2	1		V7	d	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
5	5	3/4	3/4	2/2	2	1		V(64)	d	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
6	6	0	0	2/2	2	1		V7/v	d	i		V7/v	V		7		v				Mm7	1	1	2, 6, 3, 0		2	2
6	6	1/4	1/4	2/2	2	1		V(64)/v	d	i		V(64)/v	V			64	v				M	1	1	2, 1, -2		2	2
6	6	1/2	1/2	2/2	2	1		V/v	d	i		V/v	V				v				M	1	1	2, 6, 3		2	2
7	7	0	0	2/2	2	1		v}{	d	i		v	v							}{	m	1	1	1, -2, 2		1	1
7	7	1/2	1/2	2/2	2	1		i	d	i		i	i								m	1	1	0, -3, 1		0	0
8	8	1/2	1/2	2/2	2	1		V/V	d	i		V/V	V				V				M	1	1	2, 6, 3		2	2
9	9	0	0	2/2	2	1		V	d	i		V	V								M	1	1	1, 5, 2		1	1
9	9	1/2	1/2	2/2	2	1		VI	d	i		VI	VI								M	1	1	-4, 0, -3		-4	-4
9	9	7/8	7/8	2/2	2	1		V64/iv	d	i		V64/iv	V		64		iv				M	1	1	1, 0, 4		0	1
10	10	0	0	2/2	2	1		iv[iv	d	i	iv	iv	iv								m	1	1	-1, -4, 0		-1	-1
10	10	3/8	3/8	2/2	2	1		III6	d	i		III6	III		6						M	1	1	1, -2, -3		-3	1
10	10	1/2	1/2	2/2	2	1		iio6	d	i		iio6	ii	o	6						o	1	1	-1, -4, 2		2	-1
10	10	5/8	5/8	2/2	2	1		i6]	d	i		i6	i		6			]			m	1	1	-3, 1, 0		0	-3
10	10	3/4	3/4	2/2	2	1		iv6	d	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
11	11	0	0	2/2	2	1		V(4)	d	i		V(4)	V			4					M	1	1	1, 0, 2		1	1
11	11	1/4	1/4	2/2	2	1		V	d	i		V	V								M	1	1	1, 5, 2		1	1
12	12	0	0	2/2	2	1		I}	d	i		I	I							}	M	1	1	0, 4, 1		0	0
