mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	4.0	0	0	4/2	2	1	1	1	1		2	50	D3	3	0
1	1	4	4	2.0	1	1	4/2	2	1	1/2	1/2	1		-1	53	F3	3	1
1	1	6	6	2.0	3/2	3/2	4/2	2	1	1/2	1/2	1		1	55	G3	3	2
2	2	8	8	2.0	0	0	4/2	2	1	1/2	1/2	1		3	57	A3	3	6
2	2	10	10	1.0	1/2	1/2	4/2	2	1	1/4	1/4	1		-1	53	F3	3	7
2	2	10	10	2.0	1/2	1/2	4/2	1	2	1/2	1/2	1		3	69	A4	4	3
2	2	11	11	1.0	3/4	3/4	4/2	2	1	1/4	1/4	1		1	55	G3	3	8
2	2	12	12	1.0	1	1	4/2	2	1	1/4	1/4	1		3	57	A3	3	9
2	2	12	12	2.0	1	1	4/2	1	2	1/2	1/2	1		-1	65	F4	4	4
2	2	13	13	1.0	5/4	5/4	4/2	2	1	1/4	1/4	1		5	59	B3	3	10
2	2	14	14	2.0	3/2	3/2	4/2	2	1	1/2	1/2	1		0	60	C4	4	11
2	2	14	14	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		4	64	E4	4	5
3	3	16	16	2.0	0	0	4/2	2	1	1/2	1/2	1		-2	58	Bb3	3	18
3	3	16	16	2.0	0	0	4/2	1	2	1/2	1/2	1		2	62	D4	4	12
3	3	18	18	2.0	1/2	1/2	4/2	2	2	1/2	1/2	1		2	50	D3	3	21
3	3	18	18	4.0	1/2	1/2	4/2	2	1	1	1	1		3	57	A3	3	19
3	3	18	18	1.0	1/2	1/2	4/2	1	2	1/4	1/4	1		-1	65	F4	4	13
3	3	19	19	1.0	3/4	3/4	4/2	1	2	1/4	1/4	1		4	64	E4	4	14
3	3	20	20	2.0	1	1	4/2	2	2	1/2	1/2	1		-1	53	F3	3	22
3	3	20	20	1.0	1	1	4/2	1	2	1/4	1/4	1		2	62	D4	4	15
3	3	21	21	1.0	5/4	5/4	4/2	1	2	1/4	1/4	1		0	60	C4	4	16
3	3	22	22	2.0	3/2	3/2	4/2	2	1	1/2	1/2	1		1	55	G3	3	20
3	3	22	22	2.0	3/2	3/2	4/2	2	2	1/2	1/2	1		1	55	G3	3	23
3	3	22	22	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		5	59	B3	3	17
4	4	24	24	2.0	0	0	4/2	2	2	1/2	1/2	1		3	57	A3	3	32
4	4	24	24	3.0	0	0	4/2	1	2	3/4	1/2	3/2		0	60	C4	4	27
4	4	26	26	1.0	1/2	1/2	4/2	2	2	1/4	1/4	1		3	57	A3	3	33
4	4	26	26	2.0	1/2	1/2	4/2	1	1	1/2	1/2	1		3	69	A4	4	24
4	4	27	27	1.0	3/4	3/4	4/2	2	2	1/4	1/4	1		1	55	G3	3	34
4	4	27	27	1.0	3/4	3/4	4/2	1	2	1/4	1/4	1		5	59	B3	3	28
4	4	28	28	1.0	1	1	4/2	2	2	1/4	1/4	1		-1	53	F3	3	35
4	4	28	28	2.0	1	1	4/2	1	2	1/2	1/2	1		3	57	A3	3	29
4	4	28	28	2.0	1	1	4/2	1	1	1/2	1/2	1		0	72	C5	5	25
4	4	29	29	1.0	5/4	5/4	4/2	2	2	1/4	1/4	1		4	52	E3	3	36
4	4	30	30	2.0	3/2	3/2	4/2	2	2	1/2	1/2	1		2	50	D3	3	37
4	4	30	30	2.0	3/2	3/2	4/2	2	1	1/2	1/2	1		3	57	A3	3	31
4	4	30	30	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		-1	65	F4	4	30
